,Lo PRIOR,PRIOR 2,PRIOR 3,PRIOR 4,PRIOR 5,PRIOR 6,PRIOR 7,PRIOR 8,PRIOR 9,Hi PRIOR
19270205,0.31,-0.06,-0.17,-0.15,-0.01,-0.29,-0.21,-0.02,-0.08,-0.36
19270207,0.28,1.43,-0.44,-0.79,0.13,-0.05,-0.25,-0.1,0.12,-0.08
19270208,0.95,1.03,-0.34,-0.2,0.17,-0.04,0.43,0.08,0.18,-0.14
19270209,0.66,0.21,0.21,0.02,-0.11,0.05,-0.18,0.1,0.55,-0.25
19270210,0.18,0.09,0.53,-0.01,-0.17,0.07,0.28,0.5,-0.4,0.11
19270211,0.1,0.51,0.6,0.28,0,0.06,0.6,0.97,0.29,0.38
19270214,-0.08,0.47,0.62,0.53,0.58,0.44,0.25,0.24,0.5,1.33
19270215,-0.69,0.46,-0.31,0.38,0.41,0.53,-0.36,0.01,0.21,-0.22
19270216,0.16,0.26,-0.69,-0.16,-0.06,0.26,0.01,0.42,-0.05,-0.55
19270217,0.85,0.11,-0.81,0.38,0.02,0.43,0.6,0.54,0.1,0.63
19270218,-1.15,-0.35,0,0.04,0.28,0.68,0.54,0.08,0.24,0.2
19270219,2.89,0.1,-0.37,-0.13,-0.05,-0.01,0.11,0.36,-0.16,-0.01
19270221,-0.06,-0.32,0.05,0.22,0.17,-0.27,-0.6,0.11,-0.45,0
19270223,1.17,1.38,0.4,1.02,0.61,0.3,0.7,1.05,0.88,1.59
19270224,-0.64,0.57,0.34,-0.08,0.31,0.04,0.12,0.38,-0.1,0.21
19270225,1.13,0.97,0.28,0.34,0.12,0.58,-0.07,0.09,-0.13,0.7
19270226,-0.12,0.34,0.07,-0.01,0.07,0.03,-0.02,-0.1,0.04,0.59
19270228,-0.12,0.74,0.24,0.49,-0.1,0.41,0.24,0.4,0.84,2.42
19270301,-0.94,-0.56,-0.72,-1.02,-0.09,-0.21,-0.2,-0.26,-0.6,-0.42
19270302,-0.97,-0.81,-1.25,-0.9,-1.13,-0.63,-1.14,-1.16,-1.28,-2.26
19270303,0.45,0.45,0.4,0.83,0.71,1.32,0.81,0.84,1.13,2.41
19270304,0.44,-0.35,-0.23,-0.46,-0.28,-0.83,-0.35,-0.46,-0.34,-0.46
19270305,0.75,-0.71,-0.56,0.16,0.03,-0.27,-0.4,-0.11,-0.56,-0.54
19270307,-0.63,-0.58,-0.68,-0.59,-0.62,-0.33,-0.12,-0.2,-0.31,-0.19
19270308,-1.06,0.37,-0.08,0.06,0.13,-0.08,0.06,0.22,0.17,0.87
19270309,0.42,-0.38,0.87,0.5,0.5,0.08,0.34,0.71,0.82,1.04
19270310,-0.09,0.69,0.9,0.2,0.23,0.12,0.9,0.42,1.31,0.37
19270311,0.7,0.21,-1.02,0.64,0.14,0.21,0.58,0.28,0.1,-0.01
19270312,0.39,0.94,0.04,-0.02,-0.01,0.12,-0.33,0,-0.22,0.1
19270314,-0.3,-0.82,-0.44,0.52,0.06,-0.08,0.4,-0.27,0.06,1.77
19270315,-0.47,-0.78,-1.08,-0.77,-0.84,-0.5,-1.14,-0.93,-0.73,-0.95
19270316,-0.76,0.39,0.27,0.41,0.66,1.88,0.57,1,0.69,2.23
19270317,0.19,-0.22,0.04,0.69,0.65,0.73,0.66,0.16,0.49,0.02
19270318,-0.24,-0.38,-0.54,-0.79,-0.71,-1.21,-0.84,-0.94,-0.56,-0.33
19270319,1.64,-0.27,0.02,-0.17,-0.16,0.37,0.08,-0.04,-0.08,0.18
19270321,-2,-0.2,0.24,0.1,0.17,0.23,0.35,0.26,0.66,-0.09
19270322,-1.42,-0.22,-0.89,-0.77,-0.84,-0.68,-1.2,-0.99,-1.32,-2.43
19270323,0.21,0.12,0.08,0.08,0.36,0.21,0.19,0.14,0.74,-0.05
19270324,-0.33,0.11,0.63,0.8,0.58,0.38,0.85,0.85,0.83,1.27
19270325,-0.95,0.26,0.07,0.33,0.08,0.22,0.07,-0.05,0.2,0.55
19270326,0.27,0.45,0.97,-0.2,0.04,0.89,0.04,0.14,0.25,0.8
19270328,-0.06,0.26,-0.02,0.07,0.54,0.5,0.26,0.56,0.63,1.65
19270329,-0.6,-0.59,-0.51,-0.54,-0.49,-0.27,-0.29,-0.18,0.28,0.32
19270330,0.57,-1.48,-1.04,-0.55,-0.39,-0.39,-0.47,-0.71,-0.38,-0.83
19270331,-0.97,0.77,0.05,0.33,0.43,0.26,0.24,0.13,0.76,0.16
19270401,0.17,-0.61,-0.66,0.06,0.24,-0.06,-0.05,0.28,-0.13,0.04
19270402,0.66,-0.67,-0.25,-0.1,0.28,0.05,0.18,-0.35,0,-0.52
19270404,-0.12,-0.24,0.24,0.35,0.29,1.02,0.47,0.75,0.43,0.88
19270405,-0.61,0.86,0.88,0.38,0.14,0.24,0.84,0.31,0.62,2.11
19270406,1.29,-0.12,0.07,0.04,0.05,0.07,-0.02,0.59,0.25,-0.19
19270407,-0.78,0.35,0.41,-0.11,0.33,0.76,-0.12,0.12,0.14,-0.06
19270408,0.58,-0.22,0.16,0.17,-0.03,-0.1,0.34,0.09,0.54,1.84
19270409,-0.68,0.08,-0.64,-0.13,-0.03,0.07,-0.27,0.19,0.31,0.63
19270411,1.28,0.64,-0.17,0.1,0.82,0.04,0.06,0.21,0.73,-0.44
19270412,0.38,0.22,0.27,-0.45,-0.25,-0.66,-0.45,-0.13,0.19,-0.63
19270413,0.76,0.47,-0.16,-0.3,0.65,0.51,0.06,0.39,0.03,0.67
19270414,0.53,0.42,0.42,-0.23,-0.22,0.34,0.06,0.16,0.29,-0.03
19270416,1.04,0.5,-0.39,-0.11,0.01,0.15,0.06,0.38,0.16,0.9
19270418,-0.49,0.25,-0.38,-0.74,-0.02,-0.06,0.12,0.12,0.15,0.22
19270419,0.2,0.5,0.49,0.75,0.36,-0.1,0.13,-0.17,0.06,0.48
19270420,-1.05,0.01,0.51,0.66,0.41,0.26,0.55,-0.11,0.39,-0.05
19270421,-0.67,0.13,0.06,0.22,0.41,0.4,0.43,-0.01,0.01,1.64
19270422,-0.98,-0.72,-0.36,0.61,-0.21,-0.1,0.32,0.07,0.37,0.24
19270423,-0.04,-1.08,-0.54,-0.32,-0.31,-0.3,-0.15,-0.26,-0.04,-0.94
19270425,-1.02,-1.24,-1.15,-1.81,-1.52,-1.07,-1.83,-1.2,-1.45,-2.77
19270426,0.01,0.6,0.46,0.41,0.75,0.43,0.58,0.3,0.48,1.53
19270427,-1.33,-2.31,-0.94,-0.47,0.03,-0.4,-0.09,-0.4,-0.04,-0.06
19270428,-0.12,-1.14,-0.91,-1.3,-1.31,-1.14,-0.59,-0.93,-1.47,-1.77
19270429,0.84,0.33,0.47,0.24,0.45,0.16,0.44,0.16,0.82,1.49
19270430,0.63,0.56,-0.17,0.45,-0.24,0.08,0.11,-0.19,-0.09,0.02
19270502,0.69,0.29,0.04,0.55,-0.01,0.3,-0.05,0.47,0.09,0.91
19270503,1.66,0.33,0.11,0.35,0.96,0.61,0.76,0.93,0.76,1.52
19270504,0.55,2.01,1.42,0.8,0.73,0.76,0.91,0.76,0.67,0.41
19270505,0.28,0.04,0.83,1.01,0.51,0.15,0.27,-0.27,0.37,0.2
19270506,0.19,0.38,0.65,0.45,0.11,-0.03,0.45,0.31,0.28,0.05
19270507,1.18,0.23,0.62,0.17,0.04,0.29,0.23,0.45,0.32,0.38
19270509,-0.16,0.41,-0.36,0.1,0.33,0.34,0.32,0.51,0.55,-0.09
19270510,-0.29,-0.61,-0.02,-0.4,-0.03,-0.19,-0.24,0.05,0.45,-0.03
19270511,0.69,0.15,-0.17,0.66,-0.13,-0.06,-0.23,-0.09,-0.41,-0.73
19270512,-0.51,0.13,0.25,-0.1,-0.19,-0.13,-0.36,-0.24,-0.05,0.14
19270513,0.45,-0.38,-0.21,0.83,0.54,0.93,0.25,0.79,0.78,0.75
19270514,-0.44,0.32,0.15,0.45,-0.07,0.17,0.02,0.15,-0.06,-0.31
19270516,-1.28,-0.57,-0.83,-0.47,-0.25,-0.88,-0.5,-0.94,-0.82,-1.11
19270517,0.59,0.17,-0.31,0.36,0.27,0.72,0.42,0.52,0.87,1.13
19270518,0.4,0.22,0.08,-0.16,-0.02,0.43,0.31,0.49,0.87,1.99
19270519,0.13,0.02,-0.32,0.45,-0.13,0.72,0.27,0.21,0.45,0.03
19270520,1.6,1.11,0.28,0.71,0.31,0.29,0.54,0.6,0.69,0.14
19270521,-0.16,0.9,0.26,0.45,0.38,0,0.18,0.37,0.29,0.23
19270523,-0.57,-0.59,0.06,-0.31,0.07,0.01,0.13,0.24,0.14,0.74
19270524,-0.6,-0.26,-0.17,-0.15,0.03,-0.13,0.25,-0.17,-0.38,-0.37
19270525,0.19,-0.1,0.04,-0.27,0.06,0.45,-0.17,0.48,0.1,0.78
19270526,-1.01,0.66,0.98,-0.12,0.4,0.42,0.22,-0.11,-0.04,-0.67
19270527,0.36,0.52,-0.11,0.53,0.33,0.53,0.68,0.33,0.52,0.56
19270528,1.19,-0.07,0.09,0.13,0.05,0.22,0.09,0.26,-0.12,0.38
19270531,-0.7,-0.36,0.08,0.28,0.37,0.71,0.03,0.45,0.18,0.63
19270601,-0.76,-0.35,0.04,0.21,0.03,0.5,0.33,0.34,0.81,0.54
19270602,0.11,-0.56,0.15,0.13,-0.05,0.02,-0.09,0.24,0.24,0.43
19270603,-1.69,-0.65,-0.32,-0.97,-0.64,-1.01,-0.78,-1.22,-1,-1.26
19270604,-0.08,0.37,0.03,0.23,0.32,0.41,0.41,0.78,0.59,0.39
19270606,-1.07,0.76,0.13,0.22,0.79,0.45,0.52,0.56,0.62,1.32
19270607,0.01,-0.11,-0.26,0,-0.4,-0.62,-0.32,-0.51,-0.31,-0.25
19270608,-0.98,1.45,0.56,0.6,0.13,0.07,0.17,0.33,0.2,0.24
19270609,-0.83,1.04,-0.05,0.51,-0.13,-0.18,-0.19,0.02,0.03,0.06
19270610,-0.68,-0.64,-0.01,-0.37,-0.21,-0.43,-0.52,-0.38,-0.13,-0.55
19270611,-0.69,0.55,-0.22,-0.12,-0.19,-0.05,-0.08,0.07,-0.12,-0.13
19270614,-1,-0.75,-1.51,-1.45,-1.26,-1.19,-1.11,-1.65,-1.93,-2.7
19270615,1.3,1.13,0.17,0.75,1.08,1.25,0.33,1.28,1.25,1.49
19270616,1.06,0.27,-0.01,0.26,0.72,0.36,0.49,0.54,1.51,0.78
19270617,0.38,0.08,0.3,0.94,-0.13,-0.18,0.41,0.3,0.05,-0.12
19270618,0.14,0,-0.04,-0.3,-0.17,-0.01,-0.12,-0.18,-0.15,0.31
19270620,-0.45,-0.24,-0.07,-0.27,-0.21,-0.15,-0.19,-0.02,-0.08,-0.43
19270621,-1.59,0.37,-0.66,-0.35,-0.08,-0.36,-0.27,-0.49,0.19,-0.59
19270622,0.21,-0.53,-0.14,-0.36,0.19,0.1,-0.1,0.31,0.14,0.21
19270623,-1.94,-1.18,-0.93,-0.92,-0.85,-0.56,-0.57,-0.8,-1.04,-1.71
19270624,-0.16,0.13,0.01,0.13,-0.01,0.34,0.14,0.23,0.02,0.41
19270625,0.76,-0.65,-0.58,-0.36,-0.07,0,0.03,0.12,0.08,0.01
19270627,-2.59,-1.5,-0.86,-1.1,-1.15,-1.02,-0.98,-1.16,-1.74,-1.94
19270628,-0.06,0.59,0.71,0.39,0.15,0.19,0.04,0.25,0.88,-0.33
19270629,-0.02,-0.18,-0.05,-0.13,0.05,-0.05,0.23,-0.07,-0.36,0.65
19270630,-0.86,-0.47,-0.2,-0.2,0.28,-0.06,0.05,0.04,-0.03,-0.75
19270701,1.2,0.49,0.49,0.4,0.47,0.62,0.82,0.67,0.82,0.98
19270702,0.68,0.59,0.72,0.18,0.33,0.48,0.59,0.5,1.04,0.72
19270705,0.3,0.78,0.31,0.58,0.91,0.76,0.83,1.21,1.21,1.23
19270706,0.96,0.85,0.9,0.89,0.51,0.54,0.25,0.89,0.65,0.6
19270707,-2.14,-0.52,-0.28,-0.35,-0.12,-0.02,-0.27,-0.32,-0.37,-0.32
19270708,-1.46,-0.83,-0.61,-0.11,0.04,0.03,-0.01,0.06,0.28,-0.69
19270709,0.47,0.6,0.49,0.14,0.24,0.03,-0.04,0.31,0.51,0.05
19270711,0.09,-0.4,0.32,0.08,0.71,0.63,0.47,0.81,0.42,0.12
19270712,-0.02,0.54,0.09,0.2,1.02,0.43,0.58,0.25,-0.17,0.39
19270713,0.58,-0.29,-0.03,0.3,0.2,0.55,0.57,0.13,0.14,0.13
19270714,1.21,0.06,0.24,0.08,0.34,0.41,0.1,1.55,0.66,0.63
19270715,0.78,0.2,0.56,0.21,0.09,0.32,0.1,-0.02,0.52,0.35
19270716,1.25,1.26,0.3,0.28,0.16,-0.03,0.15,-0.02,0.1,0.19
19270718,0.09,0.49,0.23,-0.02,0.53,-0.06,0.22,0.37,0.28,-0.04
19270719,-0.18,-0.14,0.46,0.94,-0.1,-0.07,0.35,0.42,0.1,0.78
19270720,0.51,-0.68,-0.22,0.37,0.6,0.38,0.14,0.04,1.2,2.07
19270721,0.4,-0.69,-0.31,0.29,-0.06,0.05,-0.12,0.14,0.22,-0.38
19270722,-0.31,0.09,0.24,-0.07,0.01,-0.06,0.1,-0.17,-0.21,-0.39
19270723,0.58,0.63,-0.02,-0.06,0.09,0.26,0.04,0.41,0.25,0.77
19270725,0.18,-0.03,-0.06,0.51,0.56,0.32,0.36,0.87,0.16,0.77
19270726,-0.03,0.5,0.16,-0.03,0.55,0.24,0.01,0.85,0,0.36
19270727,-1.18,0.24,0.11,-0.02,-0.2,0.39,0.1,0.33,-0.28,-0.19
19270728,-0.32,-0.08,-0.26,0.61,-0.17,0.79,0.12,0.24,-0.57,0.91
19270729,0.15,0.19,-0.29,1.64,0.26,0.45,0.16,0.23,1.04,0.22
19270730,0.97,0.37,0.35,0.39,0.67,0.44,0.64,0.4,0.48,0.98
19270801,-1.29,0.03,0.12,0.31,0.87,0.49,0.34,0.98,0.79,1.5
19270802,1.43,0.18,0.78,0.45,0.71,0.45,1.06,0.7,0.58,0.79
19270803,1,1.09,-0.33,-0.16,-0.68,-0.93,-0.6,-1.1,-0.88,-0.7
19270804,2.58,2.55,1.8,1.5,0.86,0.42,0.63,0.83,0.76,0.57
19270805,0.76,-0.77,-0.14,-0.52,-0.23,-0.5,-0.73,-0.85,-1.01,-1.67
19270806,0.06,0.34,-0.43,-0.13,-0.2,0.07,-0.07,-0.37,0.09,-0.08
19270808,-1.14,-0.35,-0.64,-0.78,-0.96,-0.93,-1.12,-1.47,-1.42,-2.11
19270809,-0.04,0.74,0.86,0.63,0.82,0.88,0.93,1.15,1.31,1.54
19270810,0.19,-1.01,-0.1,0.84,0.27,0.36,0,0.76,0,0.14
19270811,-0.18,-0.65,-0.65,-0.52,-1,-0.72,-0.76,-1.56,-1.24,-3.24
19270812,-1.76,-1.39,-0.95,-1.17,-1.62,-1.36,-1.29,-1.97,-1.84,-3.61
19270813,0.42,0.91,0.39,0.71,0.83,0.66,1.03,0.93,1.3,1.61
19270815,1.29,1.55,0.93,0.93,1.1,1.17,1.49,1.67,1.49,1.61
19270816,0.21,0.69,0.17,0.23,0.61,0.74,0.65,1.02,0.54,1.29
19270817,1.59,-0.17,0.49,0.66,0.28,0.12,0.85,0.41,0.07,0.73
19270818,0.14,-0.02,0.42,0.25,-0.14,0.09,0.03,-0.2,-0.11,-0.2
19270819,-1.65,-0.41,-0.28,0.19,-0.17,0.01,-0.1,0.21,1.13,-0.01
19270820,0.52,0.08,-0.12,0.48,0.15,0.12,0.11,0.25,1.02,1.26
19270822,-0.14,-0.6,0,0.16,0.56,0.6,0.51,0.44,0.5,0.53
19270823,-0.96,-0.58,0.18,0.14,0.27,0.04,-0.04,0.38,-0.08,0.04
19270824,-0.86,-0.74,-0.09,0.14,0.2,0.15,0.22,0.24,0.91,0.05
19270825,-0.29,-0.44,-0.4,-0.25,-0.15,-0.18,-0.06,0.15,0.62,0.25
19270826,-0.32,-0.43,-0.2,-0.16,-0.07,0.32,0.25,0.31,1.13,-0.29
19270827,-0.26,-0.32,-0.28,-0.02,-0.29,-0.18,-0.53,0.12,0.18,0.43
19270829,-1.14,-0.48,-0.64,0.14,-0.11,-0.03,-0.16,0.51,0.12,0.17
19270830,-0.12,0.03,-0.14,0.06,-0.33,-0.15,-0.3,0.54,0.24,0.03
19270831,-0.14,-0.63,-0.35,-0.26,-0.58,-0.2,-0.86,-0.6,-0.59,-1.16
19270901,1.21,1.2,0.59,0.82,0.78,0.59,0.77,1.09,0.96,1.45
19270902,0.1,-0.05,0.06,1.17,0.85,0.45,0.85,0.65,0.54,0.82
19270903,1.3,0.3,0.54,0.45,0.44,0.32,0.56,0.33,0.93,0.51
19270906,0.58,0.43,0.12,0.29,0.74,0.69,1.56,1.46,1.36,0.99
19270907,1.45,0.28,0.15,-0.16,0.93,0.37,0.43,0.88,0.44,0.31
19270908,-0.16,0.42,0.68,0.26,-0.3,0.15,0.14,-0.22,-0.55,0.05
19270909,0.06,-0.43,0.26,-0.66,-0.38,-0.43,-0.8,-0.81,-1.13,-0.94
19270910,1.29,0.64,0.2,0.36,0.54,0.31,0.33,0.8,0.31,1.01
19270912,-1.34,0.21,0.44,-0.39,-0.36,-0.14,-0.83,-0.68,-0.46,-0.77
19270913,1.31,0.47,0.68,0.56,1.3,1.81,0.86,1.01,1.71,1.62
19270914,-0.97,-0.75,0.03,-0.17,0.09,0.03,0.5,0.1,1.19,1.4
19270915,-0.53,-0.26,-0.68,-0.01,-0.35,-0.25,0.73,0.92,1.02,0.32
19270916,-0.65,-0.35,-0.25,0.07,0.71,-0.32,-0.32,0.22,-0.52,1.62
19270917,-0.88,-0.12,-0.32,0.15,0.08,-0.35,-0.09,-0.22,-0.61,-0.67
19270919,-0.02,0.05,0.12,-0.63,-0.19,-0.26,-0.51,-0.46,-0.8,0.06
19270920,0.69,0.68,0.64,0.06,0.36,0.79,0.59,0.65,0.49,-0.09
19270921,0.39,0.36,0.2,0.28,0.12,-0.16,-0.21,-0.14,0.01,-1.06
19270922,-1.04,-1.55,-0.89,-0.97,-0.96,-1.05,-0.98,-1.44,-1.7,-1.15
19270923,-0.04,-0.12,0.35,0.05,0.72,0.28,0.41,0.55,1.16,0.82
19270924,0.03,0.27,0.68,0.75,0.26,0.46,0.69,0.76,0.52,1.45
19270926,-1.11,-0.38,-0.83,-0.83,-0.34,-0.47,-0.63,-1.28,-1.18,-2.37
19270927,-0.58,0.08,-0.34,0.16,0.2,0.31,0.04,0.02,0.16,0.6
19270928,-0.66,-0.02,0.09,-0.21,-0.07,-0.01,-0.27,-0.44,-0.4,-1.52
19270929,-0.52,0.12,-0.18,0.02,0.01,0.15,0.26,0.42,0.14,0.39
19270930,0.92,0.6,0.42,0.67,1.16,1.09,1.54,1.28,1.38,2.08
19271001,-0.45,0.12,0.17,0.21,0.35,0.35,0.17,0.58,0.4,0.84
19271003,0.48,-0.42,-0.03,0.22,0.38,1.17,0.93,0.41,-0.05,-0.07
19271004,-0.22,-0.5,-0.47,-0.49,-0.35,-0.54,-0.63,-0.91,-0.58,0.71
19271005,-0.63,-0.61,-0.28,0.03,-0.68,-0.24,-0.66,-0.47,-0.12,0.13
19271006,0.03,-0.93,0.28,-0.22,0.4,0.55,0.67,0.42,0.05,0.25
19271007,-0.89,-0.92,-0.57,-1.03,-0.51,-0.3,-0.79,-0.89,-1,-0.91
19271008,-1.09,-0.71,-0.2,-0.12,-0.61,-0.07,-0.28,-0.48,-0.28,-0.17
19271010,-1.97,-0.21,-0.03,-0.68,-0.57,-0.17,-0.77,-0.48,-1.08,-0.11
19271011,0.5,0.22,-0.36,0.09,0.29,-0.07,-0.03,0.11,0.18,0.19
19271013,0.28,1.18,0.57,0.47,0.44,0.49,0.63,0.6,1.07,1.28
19271014,1.55,0.34,0.5,0.17,-0.2,-0.14,0.15,0.01,-0.06,-0.15
19271015,0.16,0.89,-0.32,-0.01,0.06,0.02,-0.24,0.09,0.15,0.17
19271017,-1.88,-1.18,-0.55,-1,-1.19,-0.96,-0.9,-1.24,-1.51,-2.53
19271018,-0.08,0.16,0.23,0.35,0.37,0.21,0.5,0.15,0.32,1.1
